Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,179,1000
2,0,133,223,1000
3,0,296,233,1000
4,0,472,233,1000
5,0,643,233,1000
6,0,767,233,0
7,0,767,233,0
8,0,767,233,0
9,0,767,233,0
10,0,767,233,0
11,0,767,233,0
12,0,767,233,0
13,0,767,233,0
14,0,767,233,0
15,0,767,233,0
16,0,767,233,0
17,0,767,233,0
18,0,767,233,0
19,0,767,233,0
20,0,767,233,0
21,0,767,233,0
22,0,767,233,0
23,0,767,233,0
24,0,767,233,0
25,0,767,233,0
26,0,767,233,0
27,0,767,233,0
28,0,767,233,0
29,0,767,233,0
30,0,767,233,0
31,0,767,233,0
32,0,767,233,0
33,0,767,233,0
34,0,767,233,0
35,0,767,233,0
36,0,767,233,0
37,0,767,233,0
38,0,767,233,0
39,0,767,233,0
40,0,767,233,0
41,0,767,233,0
42,0,767,233,0
43,0,767,233,0
44,0,767,233,0
45,0,767,233,0
46,0,767,233,0
47,0,767,233,0
48,0,767,233,0
49,0,767,233,0
50,0,767,233,0
51,0,767,233,0
52,0,767,233,0
53,0,767,233,0
54,0,767,233,0
55,0,767,233,0
56,0,767,233,0
57,0,767,233,0
58,0,767,233,0
59,0,767,233,0
60,0,767,233,0
61,0,767,233,0
62,0,767,233,0
63,0,767,233,0
64,0,767,233,0
65,0,767,233,0
66,0,767,233,0
67,50,717,233,0
68,50,717,233,0
69,50,717,233,0
70,100,667,233,0
71,100,667,233,0
72,100,667,233,0
73,100,667,233,0
74,100,667,233,0
75,100,667,233,0
76,100,667,233,0
77,100,667,233,0
78,100,667,233,0
79,100,667,233,0
80,100,667,233,0
81,100,667,233,0
82,100,667,233,0
83,100,667,233,0
84,100,667,233,0
85,100,667,233,0
86,100,667,233,0
87,100,667,233,0
88,100,667,233,0
89,100,667,233,0
90,100,667,233,0
91,100,667,233,0
92,100,667,233,0
93,100,667,233,0
94,100,667,233,0
95,100,667,233,0
96,100,667,233,0
97,100,667,233,0
98,100,667,233,0
99,100,667,233,0
100,100,667,233,0
101,100,667,233,0
102,100,667,233,0
103,100,667,233,0
104,100,667,233,0
105,100,667,233,0
106,100,667,233,0
107,100,667,233,0
108,100,667,233,0
109,100,667,233,0
110,100,667,233,0
111,100,667,233,0
112,100,667,233,0
113,100,667,233,0
114,100,667,233,0
115,100,667,233,0
116,100,667,233,0
117,100,667,233,0
118,100,667,233,0
119,100,667,233,0
120,100,667,233,0
121,100,667,233,0
122,100,667,233,0
123,100,667,233,0
124,100,667,233,0
125,100,667,233,0
126,100,667,233,0
127,100,667,233,0
128,100,667,233,0
129,100,667,233,0
130,100,667,233,0
131,100,667,233,0
132,240,527,233,0
133,532,235,233,0
134,532,235,233,0
135,767,0,233,0
136,767,0,233,0
137,767,0,233,0
138,767,0,233,0
139,767,0,233,0
140,767,0,233,0
141,767,0,233,0
142,767,0,233,0
143,767,0,233,0
144,767,0,233,0
145,767,0,233,0
146,767,0,233,0
147,767,0,233,0
148,767,0,233,0
149,767,0,233,0
150,767,0,233,0
151,767,0,233,0
152,767,0,233,0
153,767,0,233,0
154,767,0,233,0
155,767,0,233,0
156,767,0,233,0
157,767,0,233,0
158,767,0,233,0
159,767,0,233,0
160,767,0,233,0
161,767,0,233,0
162,767,0,233,0
163,767,0,233,0
164,767,0,233,0
165,767,0,233,0
166,767,0,233,0
167,767,0,233,0
168,767,0,233,0
169,767,0,233,0
170,767,0,233,0
171,767,0,233,0
172,767,0,233,0
173,767,0,233,0
174,767,0,233,0
175,767,0,233,0
176,767,0,233,0
177,767,0,233,0
178,767,0,233,0
179,767,0,233,0
180,767,0,233,0
181,767,0,233,0
182,767,0,233,0
183,767,0,233,0
184,767,0,233,0
185,767,0,233,0
186,767,0,233,0
187,767,0,233,0
188,767,0,233,0
189,767,0,233,0
190,767,0,233,0
191,767,0,233,0
192,767,0,233,0
193,767,0,233,0
194,767,0,233,0
195,767,0,233,0
196,767,0,233,0
197,767,0,233,0
198,767,0,233,0
199,767,0,233,0
200,767,0,233,0
201,767,0,233,0
202,767,0,233,0
203,767,0,233,0
204,767,0,233,0
205,767,0,233,0
206,767,0,233,0
207,767,0,233,0
208,767,0,233,0
209,767,0,233,0
210,767,0,233,0
211,767,0,233,0
212,767,0,233,0
213,767,0,233,0
214,767,0,233,0
215,767,0,233,0
216,767,0,233,0
217,767,0,233,0
218,767,0,233,0
219,767,0,233,0
220,767,0,233,0
221,767,0,233,0
222,767,0,233,0
223,767,0,233,0
224,767,0,233,0
225,767,0,233,0
226,767,0,233,0
227,767,0,233,0
228,767,0,233,0
229,767,0,233,0
230,767,0,233,0
231,767,0,233,0
232,767,0,233,0
233,767,0,233,0
234,767,0,233,0
235,767,0,233,0
236,767,0,233,0
237,767,0,233,0
238,767,0,233,0
239,767,0,233,0
240,767,0,233,0
241,767,0,233,0
